Australia 	India 	India 	5 wickets 	Dunedin 	Feb 22, 1995 	ODI # 979
Bangladesh 	India 	India 	9 wickets 	Sharjah 	Apr 5, 1995 	ODI # 993
India 	Pakistan 	Pakistan 	97 runs 	Sharjah 	Apr 7, 1995 	ODI # 995
India 	Sri Lanka 	India 	8 wickets 	Sharjah 	Apr 9, 1995 	ODI # 997
India 	Sri Lanka 	India 	8 wickets 	Sharjah 	Apr 14, 1995 	ODI # 999
India 	New Zealand 	New Zealand 	8 wickets 	Jamshedpur 	Nov 15, 1995 	ODI # 1015
India 	New Zealand 	India 	6 wickets 	Amritsar 	Nov 18, 1995 	ODI # 1016
India 	New Zealand 	India 	5 wickets 	Pune 	Nov 24, 1995 	ODI # 1017
India 	New Zealand 	New Zealand 	99 runs 	Nagpur 	Nov 26, 1995 	ODI # 1018
India 	New Zealand 	India 	6 wickets 	Mumbai (BS) 	Nov 29, 1995 	ODI # 1019
India 	Kenya 	India 	7 wickets 	Cuttack 	Feb 18, 1996 	ODI # 1052
India 	West Indies 	India 	5 wickets 	Gwalior 	Feb 21, 1996 	ODI # 1056
India 	Australia 	Australia 	16 runs 	Mumbai 	Feb 27, 1996 	ODI # 1065
India 	Sri Lanka 	Sri Lanka 	6 wickets 	Delhi 	Mar 2, 1996 	ODI # 1070
India 	Zimbabwe 	India 	40 runs 	Kanpur 	Mar 6, 1996 	ODI # 1075
India 	Pakistan 	India 	39 runs 	Bangalore 	Mar 9, 1996 	ODI # 1078
India 	Sri Lanka 	Sri Lanka 		Kolkata 	Mar 13, 1996 	ODI # 1081
India 	Sri Lanka 	India 	12 runs 	Singapore 	Apr 3, 1996 	ODI # 1089
India 	Pakistan 	Pakistan 	8 wickets 	Singapore 	Apr 5, 1996 	ODI # 1091
India 	Pakistan 	Pakistan 	38 runs 	Sharjah 	Apr 12, 1996 	ODI # 1094
India 	South Africa 	South Africa 	80 runs 	Sharjah 	Apr 14, 1996 	ODI # 1097
India 	Pakistan 	India 	28 runs 	Sharjah 	Apr 15, 1996 	ODI # 1098
India 	South Africa 	South Africa 	5 wickets 	Sharjah 	Apr 17, 1996 	ODI # 1100
India 	South Africa 	South Africa 	38 runs 	Sharjah 	Apr 19, 1996 	ODI # 1101
England 	India 	England 	6 wickets 	Leeds 	May 25, 1996 	ODI # 1103
England 	India 	England 	4 wickets 	Manchester 	May 26-27, 1996 	ODI # 1104
Sri Lanka 	India 	Sri Lanka 	9 wickets 	Colombo (RPS) 	Aug 28, 1996 	ODI # 1106
India 	Zimbabwe 	India 	7 wickets 	Colombo (SSC) 	Sep 1, 1996 	ODI # 1110
Australia 	India 	Australia 	3 wickets 	Colombo (SSC) 	Sep 6, 1996 	ODI # 1113
India 	Pakistan 	India 	8 wickets 	Toronto 	Sep 16, 1996 	ODI # 1115
India 	Pakistan 	Pakistan 	2 wickets 	Toronto 	Sep 17, 1996 	ODI # 1116
India 	Pakistan 	India 	55 runs 	Toronto 	Sep 18, 1996 	ODI # 1117
India 	Pakistan 	Pakistan 	97 runs 	Toronto 	Sep 21, 1996 	ODI # 1118
India 	Pakistan 	Pakistan 	52 runs 	Toronto 	Sep 23, 1996 	ODI # 1119
India 	South Africa 	South Africa 	47 runs 	Hyderabad (Deccan) 	Oct 17, 1996 	ODI # 1127
India 	Australia 	India 	2 wickets 	Bangalore 	Oct 21, 1996 	ODI # 1129
India 	South Africa 	South Africa 	27 runs 	Jaipur 	Oct 23, 1996 	ODI # 1130
India 	South Africa 	South Africa 	5 wickets 	Rajkot 	Oct 29, 1996 	ODI # 1132
India 	Australia 	India 	5 runs 	Mohali 	Nov 3, 1996 	ODI # 1137
India 	South Africa 	India 	35 runs 	Mumbai 	Nov 6, 1996 	ODI # 1138
India 	South Africa 	India 	74 runs 	Mumbai 	Dec 14, 1996 	ODI # 1151
South Africa 	India 	South Africa 	39 runs 	Bloemfontein 	Jan 23, 1997 	ODI # 1167
India 	Zimbabwe 	tied 		Paarl 	Jan 27, 1997 	ODI # 1169
South Africa 	India 	South Africa 	6 wickets 	Port Elizabeth 	Feb 2, 1997 	ODI # 1172
South Africa 	India 	South Africa 	6 wickets 	East London 	Feb 4, 1997 	ODI # 1173
India 	Zimbabwe 	Zimbabwe 	3 wickets 	Centurion 	Feb 7, 1997 	ODI # 1174
India 	Zimbabwe 	India 	6 wickets 	Benoni 	Feb 9, 1997 	ODI # 1175
South Africa 	India 	South Africa 	17 runs 	Durban 	Feb 13, 1997 	ODI # 1177
Zimbabwe 	India 	Zimbabwe 	8 wickets 	Bulawayo 	Feb 15, 1997 	ODI # 1178
West Indies 	India 	West Indies 	8 wickets 	Port of Spain 	Apr 26, 1997 	ODI # 1200
West Indies 	India 	India 	10 wickets 	Port of Spain 	Apr 27, 1997 	ODI # 1201
West Indies 	India 	West Indies 	18 runs 	Kingstown 	Apr 30, 1997 	ODI # 1202
West Indies 	India 	West Indies 	10 wickets 	Bridgetown 	May 3, 1997 	ODI # 1203
India 	New Zealand 	India 	8 wickets 	Bangalore 	May 14, 1997 	ODI # 1206
India 	Sri Lanka 	Sri Lanka 	5 wickets 	Mumbai 	May 17, 1997 	ODI # 1207
India 	Pakistan 	Pakistan 	35 runs 	Chennai 	May 21, 1997 	ODI # 1209
Sri Lanka 	India 	Sri Lanka 	6 wickets 	Colombo (RPS) 	Jul 18, 1997 	ODI # 1218
Bangladesh 	India 	India 	9 wickets 	Colombo (SSC) 	Jul 24, 1997 	ODI # 1221
Sri Lanka 	India 	Sri Lanka 	8 wickets 	Colombo (RPS) 	Jul 26, 1997 	ODI # 1222
Sri Lanka 	India 	Sri Lanka 	2 runs 	Colombo (RPS) 	Aug 17, 1997 	ODI # 1223
Sri Lanka 	India 	Sri Lanka 	7 wickets 	Colombo (RPS) 	Aug 20, 1997 	ODI # 1224
Sri Lanka 	India 	Sri Lanka 	9 runs 	Colombo (SSC) 	Aug 24, 1997 	ODI # 1226
India 	Pakistan 	India 	20 runs 	Toronto 	Sep 13, 1997 	ODI # 1227
India 	Pakistan 	India 	7 wickets 	Toronto 	Sep 14, 1997 	ODI # 1228
India 	Pakistan 	India 	34 runs 	Toronto 	Sep 18, 1997 	ODI # 1230
India 	Pakistan 	India 	7 wickets 	Toronto 	Sep 20, 1997 	ODI # 1231
India 	Pakistan 	Pakistan 	5 wickets 	Toronto 	Sep 21, 1997 	ODI # 1232
Pakistan 	India 	Pakistan 	5 wickets 	Hyderabad (Sind) 	Sep 28, 1997 	ODI # 1233
Pakistan 	India 	India 	4 wickets 	Karachi 	Sep 30, 1997 	ODI # 1234
Pakistan 	India 	Pakistan 	9 wickets 	Lahore 	Oct 2, 1997 	ODI # 1236
England 	India 	England 	7 runs 	Sharjah 	Dec 11, 1997 	ODI # 1259
India 	Pakistan 	Pakistan 	4 wickets 	Sharjah 	Dec 14, 1997 	ODI # 1262
India 	West Indies 	West Indies 	41 runs 	Sharjah 	Dec 16, 1997 	ODI # 1264
India 	Sri Lanka 	India 	7 wickets 	Guwahati 	Dec 22, 1997 	ODI # 1267
India 	Sri Lanka 	Sri Lanka 	5 wickets 	Margao 	Dec 28, 1997 	ODI # 1269
Bangladesh 	India 	India 	4 wickets 	Dhaka 	Jan 10, 1998 	ODI # 1271
India 	Pakistan 	India 	18 runs 	Dhaka 	Jan 11, 1998 	ODI # 1273
India 	Pakistan 	India 	8 wickets 	Dhaka 	Jan 14, 1998 	ODI # 1276
India 	Pakistan 	Pakistan 	6 wickets 	Dhaka 	Jan 16, 1998 	ODI # 1277
India 	Pakistan 	India 	3 wickets 	Dhaka 	Jan 18, 1998 	ODI # 1279
India 	Australia 	India 	41 runs 	Kochi 	Apr 1, 1998 	ODI # 1300
India 	Zimbabwe 	India 	13 runs 	Vadodara 	Apr 5, 1998 	ODI # 1305
India 	Australia 	India 	6 wickets 	Kanpur 	Apr 7, 1998 	ODI # 1308
India 	Zimbabwe 	India 	32 runs 	Cuttack 	Apr 9, 1998 	ODI # 1311
India 	Australia 	Australia 	4 wickets 	Delhi 	Apr 14, 1998 	ODI # 1316
India 	New Zealand 	India 	15 runs 	Sharjah 	Apr 17, 1998 	ODI # 1319
Australia 	India 	Australia 	58 runs 	Sharjah 	Apr 19, 1998 	ODI # 1322
India 	New Zealand 	New Zealand 	4 wickets 	Sharjah 	Apr 20, 1998 	ODI # 1323
Australia 	India 	Australia 	26 runs 	Sharjah 	Apr 22, 1998 	ODI # 1325
Australia 	India 	India 	6 wickets 	Sharjah 	Apr 24, 1998 	ODI # 1327
India 	Bangladesh 	India 	5 wickets 	Mohali 	May 14, 1998 	ODI # 1328
India 	Kenya 	India 	4 wickets 	Bangalore 	May 20, 1998 	ODI # 1330
India 	Bangladesh 	India 	5 wickets 	Mumbai 	May 25, 1998 	ODI # 1335
India 	Kenya 	Kenya 	69 runs 	Gwalior 	May 28, 1998 	ODI # 1336
India 	Kenya 	India 	9 wickets 	Kolkata 	May 31, 1998 	ODI # 1337
Sri Lanka 	India 	India 	8 wickets 	Colombo (RPS) 	Jun 19, 1998 	ODI # 1338
Sri Lanka 	India 	Sri Lanka 	8 runs 	Colombo (SSC) 	Jul 1, 1998 	ODI # 1341
Sri Lanka 	India 	India 	6 runs 	Colombo (RPS) 	Jul 7, 1998 	ODI # 1344
India 	Pakistan 	India 	6 wickets 	Toronto 	Sep 12, 1998 	ODI # 1349
India 	Pakistan 	Pakistan 	51 runs 	Toronto 	Sep 13, 1998 	ODI # 1350
India 	Pakistan 	Pakistan 	77 runs 	Toronto 	Sep 16, 1998 	ODI # 1351
India 	Pakistan 	Pakistan 	134 runs 	Toronto 	Sep 19, 1998 	ODI # 1352
India 	Pakistan 	Pakistan 	5 wickets 	Toronto 	Sep 20, 1998 	ODI # 1353
Zimbabwe 	India 	India 	8 wickets 	Bulawayo 	Sep 26, 1998 	ODI # 1354
Zimbabwe 	India 	India 	8 wickets 	Bulawayo 	Sep 27, 1998 	ODI # 1355
Zimbabwe 	India 	Zimbabwe 	37 runs 	Harare 	Sep 30, 1998 	ODI # 1356
Australia 	India 	India 	44 runs 	Dhaka 	Oct 28, 1998 	ODI # 1360
India 	West Indies 	West Indies 	6 wickets 	Dhaka 	Oct 31, 1998 	ODI # 1363
India 	Sri Lanka 	India 	3 wickets 	Sharjah 	Nov 6, 1998 	ODI # 1366
India 	Zimbabwe 	India 	7 wickets 	Sharjah 	Nov 8, 1998 	ODI # 1369
India 	Sri Lanka 	India 	81 runs 	Sharjah 	Nov 9, 1998 	ODI # 1370
India 	Zimbabwe 	Zimbabwe 	13 runs 	Sharjah 	Nov 11, 1998 	ODI # 1373
India 	Zimbabwe 	India 	10 wickets 	Sharjah 	Nov 13, 1998 	ODI # 1374
New Zealand 	India 	New Zealand 	5 wickets 	Taupo 	Jan 9, 1999 	ODI # 1378
New Zealand 	India 	India 	2 wickets 	Napier 	Jan 12, 1999 	ODI # 1381
New Zealand 	India 	India 	5 wickets 	Auckland 	Jan 16, 1999 	ODI # 1385
New Zealand 	India 	New Zealand 	70 runs 	Christchurch 	Jan 19, 1999 	ODI # 1387
India 	Sri Lanka 	India 	80 runs 	Nagpur 	Mar 22, 1999 	ODI # 1415
India 	Pakistan 	Pakistan 	143 runs 	Jaipur 	Mar 24, 1999 	ODI # 1417
India 	Sri Lanka 	India 	51 runs 	Pune 	Mar 30, 1999 	ODI # 1426
India 	Pakistan 	Pakistan 	7 wickets 	Mohali 	Apr 1, 1999 	ODI # 1427
India 	Pakistan 	Pakistan 	123 runs 	Bangalore 	Apr 4, 1999 	ODI # 1428
India 	Pakistan 	Pakistan 	116 runs 	Sharjah 	Apr 8, 1999 	ODI # 1430
England 	India 	India 	20 runs 	Sharjah 	Apr 9, 1999 	ODI # 1431
England 	India 	India 	9 runs 	Sharjah 	Apr 11, 1999 	ODI # 1432
India 	Pakistan 	India 	6 wickets 	Sharjah 	Apr 13, 1999 	ODI # 1435
India 	Pakistan 	Pakistan 	8 wickets 	Sharjah 	Apr 16, 1999 	ODI # 1437
India 	South Africa 	South Africa 	4 wickets 	Hove 	May 15, 1999 	ODI # 1444
India 	Zimbabwe 	Zimbabwe 	3 runs 	Leicester 	May 19, 1999 	ODI # 1450
India 	Kenya 	India 	94 runs 	Bristol 	May 23, 1999 	ODI # 1457
India 	Sri Lanka 	India 	157 runs 	Taunton 	May 26, 1999 	ODI # 1463
England 	India 	India 	63 runs 	Birmingham 	May 29-30, 1999 	ODI # 1467
Australia 	India 	Australia 	77 runs 	The Oval 	Jun 4, 1999 	ODI # 1473
India 	Pakistan 	India 	47 runs 	Manchester 	Jun 8, 1999 	ODI # 1476
India 	New Zealand 	New Zealand 	5 wickets 	Nottingham 	Jun 12, 1999 	ODI # 1480
Australia 	India 	Australia 	8 wickets 	Galle 	Aug 23, 1999 	ODI # 1486
Sri Lanka 	India 	Sri Lanka 	7 wickets 	Colombo (RPS) 	Aug 25, 1999 	ODI # 1487
Australia 	India 	Australia 	41 runs 	Colombo (SSC) 	Aug 28, 1999 	ODI # 1489
Sri Lanka 	India 	India 	23 runs 	Colombo (SSC) 	Aug 29, 1999 	ODI # 1490
India 	Zimbabwe 	India 	115 runs 	Singapore 	Sep 4, 1999 	ODI # 1493
India 	West Indies 	West Indies 	42 runs 	Singapore 	Sep 5, 1999 	ODI # 1494
India 	West Indies 	West Indies 	4 wickets 	Singapore 	Sep 8, 1999 	ODI # 1496
India 	West Indies 	India 	8 wickets 	Toronto 	Sep 11, 1999 	ODI # 1497
India 	West Indies 	West Indies 	70 runs 	Toronto 	Sep 12, 1999 	ODI # 1498
India 	West Indies 	India 	88 runs 	Toronto 	Sep 14, 1999 	ODI # 1499
India 	South Africa 	India 	8 wickets 	Nairobi (Gym) 	Sep 26, 1999 	ODI # 1504
Kenya 	India 	India 	58 runs 	Nairobi (Gym) 	Sep 29, 1999 	ODI # 1506
India 	Zimbabwe 	India 	107 runs 	Nairobi (Gym) 	Oct 1, 1999 	ODI # 1508
India 	South Africa 	South Africa 	26 runs 	Nairobi (Gym) 	Oct 3, 1999 	ODI # 1509
India 	New Zealand 	New Zealand 	43 runs 	Rajkot 	Nov 5, 1999 	ODI # 1522
India 	New Zealand 	India 	174 runs 	Hyderabad (Deccan) 	Nov 8, 1999 	ODI # 1523
India 	New Zealand 	India 	14 runs 	Gwalior 	Nov 11, 1999 	ODI # 1524
India 	New Zealand 	New Zealand 	48 runs 	Guwahati 	Nov 14, 1999 	ODI # 1525
India 	New Zealand 	India 	7 wickets 	Delhi 	Nov 17, 1999 	ODI # 1526
Australia 	India 	India 	66 runs 	Melbourne 	Dec 6, 1980 	ODI # 97
India 	New Zealand 	India 	5 runs 	Perth 	Dec 9, 1980 	ODI # 99
Australia 	India 	Australia 	9 wickets 	Sydney 	Dec 18, 1980 	ODI # 100
India 	New Zealand 	New Zealand 	3 wickets 	Brisbane 	Dec 21, 1980 	ODI # 102
India 	New Zealand 	India 	6 runs 	Adelaide 	Dec 23, 1980 	ODI # 103
Australia 	India 	Australia 	9 wickets 	Sydney 	Jan 8, 1981 	ODI # 104
India 	New Zealand 	New Zealand 	10 wickets 	Melbourne 	Jan 10, 1981 	ODI # 105
Australia 	India 	Australia 	7 wickets 	Melbourne 	Jan 11, 1981 	ODI # 106
Australia 	India 	Australia 	27 runs 	Sydney 	Jan 15, 1981 	ODI # 108
India 	New Zealand 	New Zealand 	22 runs 	Brisbane 	Jan 18, 1981 	ODI # 109
New Zealand 	India 	New Zealand 	78 runs 	Auckland 	Feb 14, 1981 	ODI # 116
New Zealand 	India 	New Zealand 	57 runs 	Hamilton 	Feb 15, 1981 	ODI # 117
India 	England 	England 	5 wickets 	Ahmedabad 	Nov 25, 1981 	ODI # 125
India 	England 	India 	6 wickets 	Jalandhar 	Dec 20, 1981 	ODI # 131
India 	England 	India 	5 wickets 	Cuttack 	Jan 27, 1982 	ODI # 143
England 	India 	England 	9 wickets 	Leeds 	Jun 2, 1982 	ODI # 152
England 	India 	England 	114 runs 	The Oval 	Jun 4, 1982 	ODI # 153
India 	Sri Lanka 	India 	78 runs 	Amritsar 	Sep 12, 1982 	ODI # 156
India 	Sri Lanka 	India 	6 wickets 	Delhi 	Sep 15, 1982 	ODI # 157
India 	Sri Lanka 	India 	6 wickets 	Bangalore 	Sep 26, 1982 	ODI # 159
Pakistan 	India 	Pakistan 	14 runs 	Gujranwala 	Dec 3, 1982 	ODI # 162
Pakistan 	India 	Pakistan 	37 runs 	Multan 	Dec 17, 1982 	ODI # 163
Pakistan 	India 	India 	18 runs 	Lahore 	Dec 31, 1982 	ODI # 164
Pakistan 	India 	Pakistan 	8 wickets 	Karachi 	Jan 21, 1983 	ODI # 172
West Indies 	India 	West Indies 	52 runs 	Port of Spain 	Mar 9, 1983 	ODI # 187
West Indies 	India 	India 	27 runs 	Albion 	Mar 29, 1983 	ODI # 191
West Indies 	India 	West Indies 	7 wickets 	St George's 	Apr 7, 1983 	ODI # 192
India 	West Indies 	India 	34 runs 	Manchester 	Jun 9-10, 1983 	ODI # 200
India 	Zimbabwe 	India 	5 wickets 	Leicester 	Jun 11, 1983 	ODI # 204
Australia 	India 	Australia 	162 runs 	Nottingham 	Jun 13, 1983 	ODI # 207
India 	West Indies 	West Indies 	66 runs 	The Oval 	Jun 15, 1983 	ODI # 210
India 	Zimbabwe 	India 	31 runs 	Tunbridge Wells 	Jun 18, 1983 	ODI # 216
Australia 	India 	India 	118 runs 	Chelmsford 	Jun 20, 1983 	ODI # 219
England 	India 	India 	6 wickets 	Manchester 	Jun 22, 1983 	ODI # 221
India 	West Indies 	India 	43 runs 	Lord's 	Jun 25, 1983 	ODI # 223
India 	Pakistan 	India 	4 wickets 	Hyderabad (Deccan) 	Sep 10, 1983 	ODI # 224
India 	Pakistan 	India 	4 wickets 	Jaipur 	Oct 2, 1983 	ODI # 225
India 	West Indies 	West Indies 	28 runs 	Srinagar 	Oct 13, 1983 	ODI # 226
India 	West Indies 	West Indies 	4 wickets 	Vadodara 	Nov 9, 1983 	ODI # 227
India 	West Indies 	West Indies 	8 wickets 	Indore 	Dec 1, 1983 	ODI # 228
